address,TOTAL_LOSS_HBAR
0x00000000000000000000000000000000000017a2,78999.994286035
0x0000000000000000000000000000000000009d18,270.0
0x000000000000000000000000000000000004fcaa,940.52047889
0x000000000000000000000000000000000006cc96,173590.0
0x000000000000000000000000000000000006f094,302.313115755
0x000000000000000000000000000000000006fd4b,460270.0
0x000000000000000000000000000000000007461c,3075.0
0x0000000000000000000000000000000000076679,46125.0
0x0000000000000000000000000000000000079f4e,69903.1445867925
0x000000000000000000000000000000000007ab21,58210.0
0x000000000000000000000000000000000007c64e,88099.19035936
0x000000000000000000000000000000000007d02c,175461.0
0x000000000000000000000000000000000008aae8,1871.0
0x000000000000000000000000000000000008f138,8678.06775974
0x0000000000000000000000000000000000096911,30750.0
0x000000000000000000000000000000000009aed0,186478.0
0x000000000000000000000000000000000009d345,5922.5
0x00000000000000000000000000000000000a1dc7,34752.1795529175
0x00000000000000000000000000000000000a2174,1869.7791593400002
0x00000000000000000000000000000000000a680f,3742.0
0x00000000000000000000000000000000000a6e57,47148.3
0x00000000000000000000000000000000000a91b7,10000.0
0x00000000000000000000000000000000000aac8e,10742.0
0x00000000000000000000000000000000000b11cf,1158599.0
0x00000000000000000000000000000000000b6a07,1871.0
0x00000000000000000000000000000000000bb41e,98750.0
0x00000000000000000000000000000000000be603,250500.0000009225
0x00000000000000000000000000000000000c1104,73294.081682955
0x00000000000000000000000000000000000c17d4,222859.0
0x00000000000000000000000000000000000c193a,272.51115116
0x00000000000000000000000000000000000c1ae6,10258.4851204575
0x00000000000000000000000000000000000c69c3,41371.0
0x00000000000000000000000000000000000cb2be,23581.805290485
0x00000000000000000000000000000000000cb41f,947.3196608272002
0x00000000000000000000000000000000000cb72b,16449.711630015
0x00000000000000000000000000000000000cc004,19750.0
0x00000000000000000000000000000000000cc432,16839.0
0x00000000000000000000000000000000000cc518,19750.0
0x00000000000000000000000000000000000cc8f6,2522.712673605
0x00000000000000000000000000000000000ce6a4,16964.7196555584
0x00000000000000000000000000000000000cf1b1,76.875
0x00000000000000000000000000000000000d2fd8,7391.359456785
0x00000000000000000000000000000000000d9a6b,6350.0
0x00000000000000000000000000000000000dcc2d,66000.7231992108
0x00000000000000000000000000000000000e5741,85576.07044138049
0x00000000000000000000000000000000000e71c9,1970.0
0x00000000000000000000000000000000000eacc5,20677.83677935
0x00000000000000000000000000000000000ebad2,2043.84809598
0x00000000000000000000000000000000000edaf7,298420.0
0x00000000000000000000000000000000000edc41,153840.0
0x00000000000000000000000000000000000ee160,20250.0
0x00000000000000000000000000000000000efe11,599.875
0x00000000000000000000000000000000000f8bc8,495.473955935
0x00000000000000000000000000000000000fcd6c,6824.58444445
0x00000000000000000000000000000000000fd04e,15340.147458547202
0x0000000000000000000000000000000000104f2a,98750.0
0x00000000000000000000000000000000001059c9,4.801817295
0x0000000000000000000000000000000000107e4b,10000.0
0x0000000000000000000000000000000000108ef6,11561.114786340002
0x000000000000000000000000000000000010b2e1,7989.900133755
0x000000000000000000000000000000000010bd34,21621.0
0x000000000000000000000000000000000010be81,2500.0
0x000000000000000000000000000000000010bf3a,1871.0
0x0000000000000000000000000000000000110b10,19750.0
0x0000000000000000000000000000000000110b2e,39500.0
0x0000000000000000000000000000000000110b5a,30000.0
0x00000000000000000000000000000000001117b7,8000.0
0x00000000000000000000000000000000001159d9,1000.0
0x00000000000000000000000000000000001251e8,13500.3051
0x0000000000000000000000000000000000135d0c,199206.4409515
0x0000000000000000000000000000000000139d09,13377.5881872215
0x000000000000000000000000000000000013c35a,1320.0
0x0000000000000000000000000000000000140ef8,176502.3755815225
0x0000000000000000000000000000000000146a66,666227.570323745
0x00000000000000000000000000000000001491ff,227905.932437
0x000000000000000000000000000000000014b576,139503.68891372002
0x000000000000000000000000000000000014c122,7426.377337655
0x0000000000000000000000000000000000150f46,620.0
0x0000000000000000000000000000000000156df1,11150.0
0x000000000000000000000000000000000015b293,3515.295942839
0x000000000000000000000000000000000015bfa9,1818.2097376875
0x000000000000000000000000000000000015e12b,13097.0
0x0000000000000000000000000000000000162ea6,409.08394273500005
0x000000000000000000000000000000000016670e,170866.81319618248
0x0000000000000000000000000000000000166f46,3877.0
0x00000000000000000000000000000000001682be,14145.6959680925
0x0000000000000000000000000000000000168c5d,1871.0
0x0000000000000000000000000000000000168e29,22825.0
0x000000000000000000000000000000000016a7b0,10114.3613965
0x0000000000000000000000000000000000174403,58897.0
0x00000000000000000000000000000000001a040c,52854.0932354725
0x00000000000000000000000000000000001a113e,91069.7290319975
0x00000000000000000000000000000000001a985c,1500.0
0x00000000000000000000000000000000001b4149,1998.75
0x00000000000000000000000000000000001b53e4,1871.0
0x00000000000000000000000000000000001d2a07,0.03678078
0x00000000000000000000000000000000001f7684,773.6509828125
0x0000000000000000000000000000000000201a76,1315.1236514725001
0x0000000000000000000000000000000000213104,254.6173116212
0x0000000000000000000000000000000000213206,3742.0
0x0000000000000000000000000000000000215f6f,1871.0
0x00000000000000000000000000000000002167e9,91.11543546
0x00000000000000000000000000000000002a51bc,344.7105084365
0x00000000000000000000000000000000002e6741,21174.464047460002
0x00000000000000000000000000000000002e8596,51919.760665046
0x00000000000000000000000000000000002f412d,8467.0
0x00000000000000000000000000000000002f51db,4813.0
0x0000000000000000000000000000000000303ca6,675000.0
0x00000000000000000000000000000000003053af,1662.8962931075
0x0000000000000000000000000000000000305a73,1042517.36976835
0x0000000000000000000000000000000000305c4f,2604.58902309
0x0000000000000000000000000000000000311048,3075.0076309200003
0x000000000000000000000000000000000031f798,2338.54764788
0x0000000000000000000000000000000000326a45,323.0
0x00000000000000000000000000000000003483b5,1325.286016995
0x00000000000000000000000000000000003500f6,1871.0
0x000000000000000000000000000000000038461f,18418.0
0x000000000000000000000000000000000039619b,116420.0
0x00000000000000000000000000000000003a0489,557.07332162
0x00000000000000000000000000000000003a632c,7484.0
0x00000000000000000000000000000000003a8883,174.59768388999998
0x00000000000000000000000000000000003bda05,98750.0
0x00000000000000000000000000000000003bec55,30113.5
0x00000000000000000000000000000000003c3114,947.6280014325
0x00000000000000000000000000000000003c7a5e,2462.09001067
0x00000000000000000000000000000000003c8075,82167.00650414082
