account_id,evm_address,cosmic_cyphers_count,nebula_genesis_count
0.0.458059,0x000000000000000000000000000000000006fd4b,128,5
0.0.1348095,0x00000000000000000000000000000000001491ff,111,1
0.0.4870694,0x00000000000000000000000000000000004a5226,83,0
0.0.725455,0x00000000000000000000000000000000000b11cf,69,5
0.0.634576,0x000000000000000000000000000000000009aed0,68,3
0.0.4641568,0x000000000000000000000000000000000046d320,61,0
0.0.512044,0x000000000000000000000000000000000007d02c,41,5
0.0.445590,0x000000000000000000000000000000000006cc96,40,5
0.0.973889,0x00000000000000000000000000000000000edc41,40,4
0.0.4318040,0x000000000000000000000000000000000041e358,29,3
0.0.7931945,0x0000000000000000000000000000000000790829,26,5
0.0.7843266,0x000000000000000000000000000000000077adc2,24,0
0.0.1468174,0x000000000000000000000000000000000016670e,22,4
0.0.4701500,0x000000000000000000000000000000000047bd3c,21,5
0.0.4958794,0x00000000000000000000000000000000004baa4a,21,1
0.0.973559,0x00000000000000000000000000000000000edaf7,20,5
0.0.3760539,0x000000000000000000000000000000000039619b,20,4
0.0.4496602,0x0000000000000000000000000000000000449cda,20,2
0.0.1708350,0x00000000000000000000000000000000001a113e,20,1
0.0.7763952,0x00000000000000000000000000000000007677f0,20,0
0.0.8117644,0x00000000000000000000000000000000007bdd8c,13,0
0.0.1704972,0x00000000000000000000000000000000001a040c,11,0
0.0.502561,0x000000000000000000000000000000000007ab21,10,2
0.0.4573890,0x000000000000000000000000000000000045cac2,10,0
0.0.836658,0x00000000000000000000000000000000000cc432,9,0
0.0.1433899,0x000000000000000000000000000000000015e12b,7,0
0.0.8142971,0x00000000000000000000000000000000007c407b,7,0
0.0.4904643,0x00000000000000000000000000000000004ad6c3,6,0
0.0.4345772,0x0000000000000000000000000000000000424fac,5,1
0.0.5704457,0x0000000000000000000000000000000000570b09,5,0
0.0.7821112,0x0000000000000000000000000000000000775738,5,0
0.0.3826476,0x00000000000000000000000000000000003a632c,4,0
0.0.7807171,0x00000000000000000000000000000000007720c3,4,0
0.0.792532,0x00000000000000000000000000000000000c17d4,4,0
0.0.7687902,0x0000000000000000000000000000000000754ede,3,1
0.0.7840939,0x000000000000000000000000000000000077a4ab,3,0
0.0.1035628,0x00000000000000000000000000000000000fcd6c,2,0
0.0.1470278,0x0000000000000000000000000000000000166f46,2,0
0.0.2175494,0x0000000000000000000000000000000000213206,2,0
0.0.3096877,0x00000000000000000000000000000000002f412d,2,0
0.0.681999,0x00000000000000000000000000000000000a680f,2,0
0.0.699534,0x00000000000000000000000000000000000aac8e,2,0
0.0.7842795,0x000000000000000000000000000000000077abeb,2,0
0.0.7849945,0x000000000000000000000000000000000077c7d9,2,0
0.0.8147681,0x00000000000000000000000000000000007c52e1,2,0
0.0.813507,0x00000000000000000000000000000000000c69c3,1,2
0.0.1097012,0x000000000000000000000000000000000010bd34,1,1
0.0.3927125,0x00000000000000000000000000000000003bec55,1,1
0.0.509518,0x000000000000000000000000000000000007c64e,1,1
0.0.1097530,0x000000000000000000000000000000000010bf3a,1,0
0.0.1477725,0x0000000000000000000000000000000000168c5d,1,0
0.0.1790948,0x00000000000000000000000000000000001b53e4,1,0
0.0.2187119,0x0000000000000000000000000000000000215f6f,1,0
0.0.3473654,0x00000000000000000000000000000000003500f6,1,0
0.0.3965045,0x00000000000000000000000000000000003c8075,1,0
0.0.4209855,0x0000000000000000000000000000000000403cbf,1,0
0.0.4364865,0x0000000000000000000000000000000000429a41,1,0
0.0.568040,0x000000000000000000000000000000000008aae8,1,0
0.0.6026822,0x00000000000000000000000000000000005bf646,1,0
0.0.7155902,0x00000000000000000000000000000000006d30be,1,0
0.0.748039,0x00000000000000000000000000000000000b6a07,1,0
0.0.7770246,0x0000000000000000000000000000000000769086,1,0
0.0.7907211,0x000000000000000000000000000000000078a78b,1,0
0.0.7991798,0x000000000000000000000000000000000079f1f6,1,0
0.0.965330,0x00000000000000000000000000000000000ebad2,1,0
0.0.1068842,0x0000000000000000000000000000000000104f2a,0,5
0.0.3922437,0x00000000000000000000000000000000003bda05,0,5
0.0.767006,0x00000000000000000000000000000000000bb41e,0,5
0.0.6050,0x00000000000000000000000000000000000017a2,0,4
0.0.1116974,0x0000000000000000000000000000000000110b2e,0,2
0.0.1357174,0x000000000000000000000000000000000014b576,0,2
0.0.939841,0x00000000000000000000000000000000000e5741,0,2
0.0.1116944,0x0000000000000000000000000000000000110b10,0,1
0.0.1314552,0x0000000000000000000000000000000000140ef8,0,1
0.0.1478185,0x0000000000000000000000000000000000168e29,0,1
0.0.7907159,0x000000000000000000000000000000000078a757,0,1
0.0.835588,0x00000000000000000000000000000000000cc004,0,1
0.0.836888,0x00000000000000000000000000000000000cc518,0,1
0.0.961733,0x00000000000000000000000000000000000eacc5,0,1
0.0.975200,0x00000000000000000000000000000000000ee160,0,1
