address;HBAR_VALUE_HBAR;HBARX_VALUE_HBAR;HSUITE_VALUE_HBAR;SAUCE_VALUE_HBAR;XSAUCE_VALUE_HBAR;PACK_VALUE_HBAR;USDC_VALUE_HBAR;NEBULA_GENESIS_VALUE_HBAR;COSMIC_CYPHERS_VALUE_HBAR;TOTAL_LOSS_HBAR
0x00000000000000000000000000000000000e5741;2000.0;0.0;442.8027524325;0.0;31535.16140817;12098.106280777998;0.0;39500.0;0.0;85576.07044138049
0x00000000000000000000000000000000000e71c9;2670.0;0.0;0.0;0.0;0.0;0.0;-700.0;0.0;0.0;1970.0
0x00000000000000000000000000000000000eacc5;0.0;0.0;927.83677935;0.0;0.0;0.0;0.0;19750.0;0.0;20677.83677935
0x00000000000000000000000000000000000ebad2;172.84809598;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;2043.84809598
0x00000000000000000000000000000000000edaf7;-200000.0;0.0;0.0;0.0;362250.0;0.0;0.0;98750.0;37420.0;298420.0
0x00000000000000000000000000000000000edc41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79000.0;74840.0;153840.0
0x00000000000000000000000000000000000ee160;500.0;0.0;0.0;0.0;0.0;0.0;0.0;19750.0;0.0;20250.0
0x00000000000000000000000000000000000efe11;400.0;0.0;199.875;0.0;0.0;0.0;0.0;0.0;0.0;599.875
0x00000000000000000000000000000000000f3435;0.0;0.0;0.0;0.0;0.0;0.0;-3.7235625;0.0;0.0;-3.7235625
0x00000000000000000000000000000000000f8bc8;0.0;0.0;0.0;0.0;76.56747493499999;0.0;418.906481;0.0;0.0;495.473955935
0x00000000000000000000000000000000000fcd6c;0.0;0.0;3082.5844444500003;0.0;0.0;0.0;0.0;0.0;3742.0;6824.58444445
0x00000000000000000000000000000000000fd04e;0.0;13126.147458547202;0.0;2214.0;0.0;0.0;0.0;0.0;0.0;15340.147458547202
0x0000000000000000000000000000000000104f2a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;0.0;98750.0
0x00000000000000000000000000000000001059c9;0.0;0.0;4.801817295;0.0;0.0;0.0;0.0;0.0;0.0;4.801817295
0x0000000000000000000000000000000000107e4b;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10000.0
0x0000000000000000000000000000000000108ef6;-3975.6950076;0.0;15536.809793940001;0.0;0.0;0.0;0.0;0.0;0.0;11561.114786340002
0x000000000000000000000000000000000010b2e1;0.0;0.0;1240.79387115;0.0;6749.106262605;0.0;0.0;0.0;0.0;7989.900133755
0x000000000000000000000000000000000010bd34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19750.0;1871.0;21621.0
0x000000000000000000000000000000000010be81;2500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2500.0
0x000000000000000000000000000000000010bf3a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0x000000000000000000000000000000000010f73a;0.0;0.0;-1.6000587225;0.0;0.0;0.0;0.0;0.0;0.0;-1.6000587225
0x0000000000000000000000000000000000110b10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19750.0;0.0;19750.0
0x0000000000000000000000000000000000110b2e;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39500.0;0.0;39500.0
0x0000000000000000000000000000000000110b5a;30000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30000.0
0x00000000000000000000000000000000001117b7;8000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8000.0
0x00000000000000000000000000000000001159d9;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0
0x00000000000000000000000000000000001251e8;0.0;0.0;0.0;13500.3051;0.0;0.0;0.0;0.0;0.0;13500.3051
0x0000000000000000000000000000000000135d0c;0.0;0.0;307500.0;0.0;0.0;0.0;-108293.5590485;0.0;0.0;199206.4409515
0x0000000000000000000000000000000000139d09;1600.0;0.0;11208.7361160075;-0.00035343000000000006;568.86463494;-0.0032467959999999997;-0.0089635;0.0;0.0;13377.5881872215
0x000000000000000000000000000000000013c35a;0.0;1320.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1320.0
0x0000000000000000000000000000000000140ef8;120000.0;0.0;15233.774612452502;-2.02416246;21520.62513153;0.0;0.0;19750.0;0.0;176502.3755815225
0x0000000000000000000000000000000000146a66;663742.75333997;0.0;0.0;0.0;2484.816983775;0.0;0.0;0.0;0.0;666227.570323745
0x00000000000000000000000000000000001491ff;0.0;0.0;0.0;0.0;0.0;0.0;474.93243700000005;19750.0;207681.0;227905.932437
0x000000000000000000000000000000000014b576;100003.68891372;0.0;0.0;0.0;0.0;0.0;0.0;39500.0;0.0;139503.68891372002
0x000000000000000000000000000000000014c122;10.0;0.0;6538.6605641549995;0.0;12.6;1.428;863.6887735;0.0;0.0;7426.377337655
0x0000000000000000000000000000000000150f46;100.0;660.0;0.0;0.0;0.0;0.0;-140.0;0.0;0.0;620.0
0x0000000000000000000000000000000000156df1;5000.0;0.0;6150.0;0.0;0.0;0.0;0.0;0.0;0.0;11150.0
0x000000000000000000000000000000000015b293;3222.0;0.0;0.0;796.55722299;-1728.95015664;1027.6699854889998;198.018891;0.0;0.0;3515.295942839
0x000000000000000000000000000000000015bfa9;0.0;0.0;922.5000027675;0.0;895.7097349200001;0.0;0.0;0.0;0.0;1818.2097376875
0x000000000000000000000000000000000015e12b;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13097.0;13097.0
0x0000000000000000000000000000000000162ea6;0.0;0.0;0.0;-216.0;625.083942735;0.0;0.0;0.0;0.0;409.08394273500005
0x000000000000000000000000000000000016670e;0.0;0.0;50704.8131961825;0.0;0.0;0.0;0.0;79000.0;41162.0;170866.81319618248
0x0000000000000000000000000000000000166f46;0.0;0.0;0.0;135.0;0.0;0.0;0.0;0.0;3742.0;3877.0
0x00000000000000000000000000000000001682be;520.69596963;0.0;15374.9999984625;0.0;0.0;0.0;-1750.0;0.0;0.0;14145.6959680925
0x0000000000000000000000000000000000168c5d;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0x0000000000000000000000000000000000168e29;0.0;0.0;3075.0;0.0;0.0;0.0;0.0;19750.0;0.0;22825.0
